"Loggroup","Logcount","word Count","Top Words","Counter"
1,44,207,"win",1
1,44,107,"beat",2
1,44,96,"will",3
1,44,52,"wilson",4
1,44,43,"wildest",5
2,47,128,"washington",1
2,47,44,"still",2
2,47,28,"romo",3
2,47,16,"fuck",4
2,47,16,"straight",5
3,28,145,"next",1
3,28,21,"sound",2
3,28,13,"eve",3
3,28,11,"takes",4
3,28,5,"yard",5
4,52,660,"cowboys",1
4,52,76,"cowboysredskins",2
4,52,24,"cowboysnation",3
4,52,20,"cowboyswashington",4
4,52,9,"cowboy",5
5,182,153,"eagles",1
5,182,45,"dreams",2
5,182,41,"good",3
5,182,33,"gonna",4
5,182,29,"robert",5
6,41,53,"christmas",1
6,41,52,"lose",2
6,41,48,"loss",3
6,41,36,"lol",4
6,41,26,"love",5
7,39,80,"make",1
7,39,35,"want",2
7,39,23,"record",3
7,39,22,"watch",4
7,39,18,"back",5
8,191,159,"week",1
8,191,86,"time",2
8,191,49,"iii",3
8,191,46,"prime",4
8,191,43,"espn",5
9,57,37,"see",1
9,57,33,"last",2
9,57,27,"know",3
9,57,18,"turn",4
9,57,12,"bruno",5
10,1319,1601,"redskins",1
10,1319,433,"nfl",2
10,1319,267,"game",3
10,1319,237,"dallas",4
10,1319,232,"sunday",5
